"recipient_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"5e60590c-a292-4f53-8c45-81a5fdf5d038","QUINTINUS [COE] // Quintinus [CWE] // Quintin, Jean [ALLEN]","1531-03-09","1531-03-09"
"5f404095-5748-48c8-bba6-a92d57da5e7f","Maximilian (II) of BURGUNDY [COE] // Maximilian (II) of Burgundy [CWE] // Burgundy, Maximilian of [ALLEN]","1525-03-30","1529-07-23"
"60e8aab1-680d-4c9f-820d-b35ec2836880","Ortwinus GRATIUS [COE] // Ortwinus Gratius [CWE] // Gratius, Ortuinus [ALLEN]","1519-09-15","1519-09-15"
"614f699c-a9ee-4b3c-85f6-c1b7fbd83762","Francesco CIGALINI [COE] // Francesco Cigalini [CWE] // Cigalinus [ALLEN]","1526-03-15","1526-03-15"
"62b9d18e-616e-4018-b700-7c7c1ce30f10","Johannes FALCO [COE] // Johannes Falco [CWE] // Falcon, John [ALLEN]","1499-02-03","1499-02-03"
"62ef8b11-62fe-4cd7-b137-1fbca96c7a84","Johann HUTTICH [COE] // Johann Huttich [CWE] // Huttich, John [ALLEN]","1517-03-01","1517-03-01"
"634edd96-2003-467f-b52b-26420e5ef1e7","Richard BERE [COE] // Richard Bere [CWE] // Bere, Richard [ALLEN]","1524-09-04","1524-09-04"
"641a4985-2d1e-43e8-af51-56b4e44904e5","[Nuns of Cologne] [COE] // Nuns of Cologne [CWE] // Cologne, Nuns [ALLEN]","1523-02-01","1523-02-01"
"6468bc3f-1e61-4811-8cfd-b17dc3cad6e1","Gerrit van ASSENDELFT [COE] // Gerrit van Assendelft [CWE] // Assendelft, Gerard of [ALLEN]","1532-10-29","1532-10-29"
"6501f190-cd82-4329-bffa-b4f327732bb9","Gabriël OFHUYS [COE] // Gabriël Ofhuys [CWE] // Ofhuys, Gabriel [ALLEN]","1521-10-14","1521-10-14"
"6521d55b-0c9f-422a-a244-c961517b368c","Johannes Baptista LAURENTIA [COE] // Johannes Baptista Laurentia [CWE] // Laurentia, Ioannes Baptista [ALLEN]","1535-03-18","1535-03-18"
"659e23ae-a28c-4a79-8cbb-8fc2120de332","Johann Georg PAUMGARTNER [COE] // Johann Georg Paumgartner [CWE] // Paungartner, John George [ALLEN]","1532-07-05","1533-05-12"
"668a3fe8-6148-4b0d-920f-b200587f1e6f","Franciscus CASSANDER [COE] // Franciscus Cassander [CWE] // Cassander, Francis [ALLEN]","1530-03-28","1531-03-06"
