"locations_id","geonames_id","wikidata_id","emlo_location_id","locations_name_modern","locations_name_in_edition","locations_modern_state","locations_modern_province","locations_lat","locations_lng","locations_ll_combined","locations_further_annotation"
"sancourt_FR_gid_2976240","2976240","Q758884","","Sancourt","Sancourt, village de Picardie","France","Hauts-de-France","49.77355","3.03826","49.77355, 3.03826",""
"murcia_ES_gid_2513416","2513416","Q12225","","Murcia","Murcie, Espagne","Spain","Murcia","37.98704","-1.13004","37.98704, -1.13004",""
"serrouville_FR_gid_2974798","2974798","Q952387","","Serrouville","Serrouville (près Briey)","France","Grand Est","49.39904","5.88846","49.39904, 5.88846",""
"caudebec_en_caux_FR_gid_3028215","3028215","Q640089","","Caudebec-en-Caux","Caudebec","France","Normandy","49.52577","0.72561","49.52577, 0.72561",""
"asse_BE_gid_2803033","2803033","Q515710","16ea8f85-a653-4006-9a20-edb993ac6085","Asse","d'Asche bei Brüssel","Belgium","Flanders","50.91011","4.19836","50.91011, 4.19836",""
"veringendorf_DE_gid_2817582","2817582","Q82304","","Veringendorf","Veringendorf","Germany","Baden-Wurttemberg","48.15784","9.20277","48.15784, 9.20277",""
"albisola_superiore_IT_gid_6534243","6534243","Q270492","","Albisola Superiore","Albisola Superiore","Italy","Liguria","44.33889","8.51046","44.33889, 8.51046",""
"étaples_FR_gid_3019441","3019441","Q273522","","Étaples","Étaples in Picardy","France","Hauts-de-France","50.52194","1.63319","50.52194, 1.63319",""
"nérac_DE_gid_2990780","2990780","Q210769","84318102-f9ae-4591-9650-1f2b63442481","Nérac","Nérac","France","Nouvelle-Aquitaine","44.13333","0.35","44.13333, 0.35",""
"poitiers_FR_gid_2986495","2986495","Q6616","9bb0e626-a446-4235-8822-d3466363d2d3","Poitiers","Poitiers","France","Nouvelle-Aquitaine","46.58261","0.34348","46.58261, 0.34348",""
"saint_genis_les_ollières_FR_gid_2979984","2979984","Q684659","","Saint-Genis-les-Ollières","Saint Genis près de Lyon","France","Auvergne-Rhône-Alpes","45.7571","4.72625","45.7571, 4.72625",""
