"send_date_computable1","NoEppSentFromEra"
"1516-02-24","1"
"1516-03-01","1"
"1516-03-07","1"
"1516-04-01","3"
"1516-05-08","1"
"1516-01-01","1"
"1516-05-12","2"
"1516-06-01","2"
"1516-06-03","1"
"1516-06-05","5"
"1495-01-01","1"
"1516-06-19","1"
"1516-06-23","1"
"1516-07-09","1"
"1516-07-10","1"
"1516-07-13","2"
"1516-07-14","1"
"1516-08-09","1"
"1516-08-01","1"
"1495-10-01","1"
"1516-08-14","1"
"1516-08-17","1"
"1516-08-22","2"
"1516-08-27","1"
"1516-09-05","1"
"1495-11-08","1"
"1516-09-28","1"
"1516-09-29","1"
"1516-10-02","1"
"1516-10-06","2"
"1516-10-17","1"
"1496-09-13","1"
"1516-10-28","1"
"1516-11-09","1"
"1496-11-07","1"
"1516-11-18","1"
"1516-11-01","1"
"1497-01-01","4"
"1516-12-29","1"
"1517-01-01","3"
"1517-01-13","1"
"1517-01-20","1"
"1497-02-04","1"
"1517-02-13","1"
"1517-02-14","2"
"1497-03-01","4"
"1517-02-15","1"
"1517-02-21","4"
"1517-02-24","3"
"1517-02-01","2"
"1517-02-26","1"
"1517-03-01","2"
"1517-03-08","1"
"1517-03-10","1"
"1517-03-11","1"
"1517-03-15","1"
"1517-04-04","2"
"1517-04-28","1"
"1497-07-01","3"
"1517-05-30","1"
"1517-06-05","1"
"1517-07-10","6"
"1517-07-20","1"
"1517-07-17","2"
"1517-08-01","2"
"1497-08-01","4"
"1517-08-16","1"
"1517-08-23","6"
"1517-08-24","4"
"1517-08-25","2"
"1517-08-28","1"
"1517-08-20","1"
"1517-08-29","2"
"1517-08-30","1"
"1517-08-31","3"
"1517-09-07","4"
"1517-09-08","4"
"1517-09-09","2"
"1517-09-11","1"
"1517-09-16","8"
"1498-01-01","2"
"1517-09-17","2"
"1517-10-05","1"
"1517-10-19","1"
"1517-10-01","2"
"1517-10-26","2"
"1498-02-01","1"
"1517-10-30","1"
"1517-10-31","1"
"1517-11-02","5"
"1517-11-01","2"
"1498-02-13","1"
"1517-11-03","3"
"1517-11-04","2"
"1517-10-20","1"
"1517-11-10","1"
"1498-03-01","2"
"1517-11-13","2"
"1517-11-15","2"
"1517-11-16","2"
"1517-11-19","1"
"1517-11-21","1"
"1517-11-20","2"
"1517-11-30","5"
"1498-04-01","3"
"1517-12-06","4"
"1517-12-09","2"
"1517-12-01","1"
"1517-12-12","1"
"1517-12-13","2"
"1517-12-16","2"
"1517-12-21","2"
"1517-12-22","1"
"1518-01-02","1"
"1518-01-05","1"
"1518-01-06","3"
"1518-01-07","2"
"1518-01-10","2"
"1498-07-01","1"
"1518-01-13","1"
"1518-01-14","3"
"1518-01-16","1"
"1518-01-18","3"
"1498-07-09","1"
"1518-02-20","1"
"1518-02-21","2"
"1518-02-22","6"
"1498-10-01","1"
"1518-03-05","12"
"1498-11-01","1"
"1518-03-06","2"
"1518-03-12","1"
"1518-03-13","4"
"1498-11-29","1"
"1518-03-14","1"
"1518-03-26","3"
"1518-03-02","1"
"1518-03-01","1"
"1518-04-05","2"
"1498-12-01","2"
"1518-04-13","1"
"1518-04-17","7"
"1518-04-22","2"
"1518-04-23","8"
"1518-04-15","1"
"1498-12-14","2"
"1518-04-24","3"
"1518-04-25","1"
"1518-04-26","4"
"1518-04-29","3"
"1518-05-07","1"
"1518-05-15","1"
"1518-05-31","2"
"1518-07-15","1"
"1518-07-26","1"
"1518-07-01","1"
"1518-08-12","1"
"1518-08-14","1"
"1518-08-22","1"
"1518-08-26","2"
"1518-08-31","1"
"1518-10-01","3"
"1518-10-15","2"
"1499-02-03","1"
"1518-10-17","4"
"1518-10-19","7"
"1499-02-04","2"
"1518-10-20","3"
"1518-10-21","1"
"1518-10-22","3"
"1518-10-23","5"
"1518-10-24","2"
"1518-10-25","1"
"1499-02-01","1"
"1518-11-04","1"
"1518-12-01","1"
"1518-12-13","1"
"1518-12-22","1"
"1499-02-12","1"
"1519-01-22","1"
"1519-02-05","1"
"1519-02-13","1"
"1519-02-19","1"
"1519-02-27","1"
"1519-02-14","1"
"1519-03-17","1"
"1519-03-19","1"
"1499-03-01","1"
"1519-03-21","2"
"1519-03-30","1"
"1519-04-01","2"
"1519-04-02","1"
"1519-04-14","1"
"1499-04-29","1"
"1519-04-17","2"
"1519-04-18","1"
"1519-04-20","5"
"1519-04-22","3"
"1499-05-02","1"
"1519-04-23","2"
"1519-04-24","1"
"1519-05-01","4"
"1519-03-01","1"
"1519-05-15","3"
"1519-05-18","1"
"1519-05-20","5"
"1519-05-21","2"
"1519-05-25","2"
"1519-05-29","1"
"1519-05-30","5"
"1519-06-27","1"
"1519-06-28","1"
"1519-07-14","2"
"1519-07-15","1"
"1519-07-23","1"
"1518-09-08","1"
