"recipient_id","Number of locations this correspondent receives letters at"
"riario_raffaello_viaf_25474452","1"
"richardot_pierre_viaf_unknown","1"
"ricius_paulus_viaf_60018918","1"
"riedt_johannes_von_viaf_307306719","1"
"rinck_johann_viaf_unknown","1"
"ritius_hieronymus_viaf_2869186","1"
"rivulo_adrianus_a_viaf_unknown","1"
"robbyns_jan_viaf_unknown","1"
"rogerus_servatius_viaf_unknown","1"
"roper_margaret_viaf_20552280","1"
"rosemondt_godescalc_viaf_15113247","1"
"rosinus_johannes_viaf_37991609","1"
"rotenhan_sebastian_von_viaf_29835542","1"
"ruistre_nicolas_viaf_unknown","1"
"ruiz_de_la_mota_bishop_of_badajoz_viaf_69068021","1"
"ruiz_de_virués_alonso_viaf_89519337","2"
"rupilius_franciscus_viaf_uncertain","1"
"ruser_johann_viaf_unknown","1"
"ruthall_thomas_viaf_21976614","1"
"ruys_walter_viaf_77133642","1"
"ruzé_louis_viaf_306487693","1"
"saarburg_matthias_von_viaf_unknown","1"
"sadoleto_jacopo_viaf_76326881","2"
"sadoleto_paolo_viaf_75692067","1"
"sampson_richard_viaf_44650591","1"
"sapidus_johannes_viaf_24771033","1"
"sasboudus_[corpus_era]_viaf_unknown","1"
"sasbout_jodok_viaf_22959409","1"
"sbrulius_richardus_viaf_57544463","1"
"scarpinelli_agostino_viaf_unknown","2"
"schade_peter_viaf_12457732","1"
"schalbe_kaspar_viaf_uncertain","1"
"schepper_cornelis_duplicius_de_viaf_95137124","1"
"schetz_erasmus_viaf_101339450","1"
"schetz_gaspar_viaf_77246028","1"
"schiner_matthäus_viaf_184814357","3"
"schmotzer_goerg_viaf_unknown","1"
"schudelin_johann_viaf_unknown","1"
"schürer_matthias_viaf_102445072","1"
"schweiß_alexander_von_viaf_89934990","1"
"selve_jean_de_viaf_27411548","1"
"sepúlveda_juan_ginés_de_viaf_39405614","1"
"sigismund_i_king_of_poland_viaf_84145052","1"
"silvius_andreas_viaf_20500070","1"
"sinapius_johannes_viaf_50037880","2"
"sixtinus_johannes_viaf_unknown","2"
"šlechta_ze_všehrd_jan_viaf_280635559","1"
"smith_john_viaf_unknown","1"
"spalatin_georg_viaf_240011410","4"
"sparcheford_richard_viaf_unknown","2"
"stadion_christoph_von_bishop_of_augsburg_viaf_72202625","2"
"steuco_agostino_viaf_59880366","1"
"stibar_von_rabenek_viaf_37863206","3"
"storch_ambrosius_viaf_89269911","1"
"strasbourg_magistrates_of_viaf_not_applicable","1"
"sturm_jakob_viaf_42633585","1"
"sucket_jan_(i)_viaf_unknown","1"
"sucket_karel_viaf_unknown","1"
"sutter_johann_viaf_5760662","1"
"swiss_confedercy_viaf_not_applicable","1"
"szydłowiecki_krzysztof_viaf_18320094","1"
"talesius_quirinus_viaf_unknown","3"
"tayspil_daniël_viaf_unknown","1"
"thale_william_viaf_unknown","1"
"theoderici_jacobus_viaf_unknown","1"
"theoderici_vincentius_viaf_unknown","1"
"theodericus_franciscus_viaf_unknown","1"
"thüngen_konrad_ii_von_viaf_26411713","1"
"thurzó_alexius_viaf_81112974","1"
"thurzó_stanislaus_bishop_of_olomouc_viaf_35631755","1"
"tittelmans_franciscus_viaf_27074875","1"
"tomicki_piotr_viaf_25699004","1"
"toneys_robert_viaf_36728303","1"
"torresani_gian_francesco_viaf_72229342","1"
"torresanus_andreas_de_asula_viaf_29587053","1"
"tournon_françois_viaf_120736278","1"
"toussain_pierre_viaf_55019278","1"
"trazegnies_jean_de_viaf_23295460","1"
"trivulzio_agostino_viaf_252903656","1"
"trophinus_felix_viaf_unknown","1"
"truchsess_von_waldburg_zu_trauchburg_christoph_viaf_230372349","2"
"tunstall_cuthbert_viaf_22160214","4"
"tusanus_jacobus_viaf_221293349","1"
"uenhove_carolus_viaf_193330185","3"
"unnamed_person_viaf_not_applicable","1"
"urswick_christopher_viaf_295806067","1"
"utenheim_christoph_von_viaf_64412735","2"
"valdés_alfonso_de_viaf_89087729","4"
"valdés_juan_de_viaf_19691005","1"
"vannes_pietro_viaf_unknown","1"
"vel_caspar_ursinus_viaf_79441643","3"
"vergara_francisco_viaf_23079828","1"
"vergara_juan_de_viaf_100470729","1"
"vergerio_pietro_paolo_viaf_51698984","1"
"vergil_polydore_viaf_89468390","1"
"vers_louis_de_viaf_unknown","1"
"vesuvius_nicolaus_viaf_unknown","1"
"vianden_melchior_matthaei_of_viaf_unknown","1"
"villinger_jakob_viaf_42669581","1"
"viromandus_hieronymus_viaf_unknown","1"
"vitoria_francisco_de_viaf_100255862","1"
"vitré_pierre_viaf_unknown","1"
"vives_juan_luis_viaf_71399403","2"
"vlatten_johann_von_viaf_192938582","5"
"voecht_jacob_de_viaf_283116155","2"
"volz_paul_viaf_59903208","1"
"vulcanius_petrus_viaf_283253600","2"
"wain_gervasius_viaf_253292025","1"
"walkden_humprey_viaf_unknown","1"
"warham_william_viaf_58070815","4"
"warnerszoon_claes_viaf_unknown","1"
"wary_nicolas_viaf_unknown","1"
"watson_john_viaf_unknown","1"
"wattenwyl_niklaus_von_viaf_100404663","1"
"wentford_roger_viaf_unknown","1"
"werter_johann_viaf_unknown","1"
"whitford_richard_viaf_7440509","2"
"wichmans_peter_viaf_unknown","1"
"wied_hermann_von_viaf_71607602","1"
"wilhelm_v_herzog_von_kleve_jülich_berg_viaf_291388445","1"
"wimpheling_jakob_viaf_19699237","2"
"winckele_jan_van_viaf_unknown","1"
"winckel_pieter_viaf_unknown","1"
"wingfield_richard_viaf_unknown","1"
"winnmann_nikolaus_viaf_39729055","1"
"wolsey_thomas_viaf_22937889","8"
"yonge_john_viaf_194704149","1"
"zasius_ulrich_viaf_61645489","1"
"zebrzydowski_andrzej_viaf_31698046","2"
"ziegler_jakob_viaf_15074694","1"
"zurich_town_council_of_viaf_not_applicable","1"
"zuutpene_pieter_viaf_unknown","1"
"zwingli_ulrich_viaf_71399367","2"
"łaski_hieronim_viaf_161930274","1"
"łaski_jan_(1)_viaf_54138660","1"
"łaski_jan_(2)_viaf_222145667146705170005","2"
